bfe,gov_property_value,gov_land_value,unit_sqm_resi,rooms,street_name,street_number,longitude,latitude,building_year,gov_sqm,year,month,floor,y_true,y_pred
125598,1400000.0,118100.0,85.0,3,Kretavej,49,12.62339849,55.6537671,1935.0,80.0,2022,3,2.0,3650000,3656323.9346673787
133165,1800000.0,260800.0,90.0,3,Lyneborggade,27,12.6111992,55.66372629,2006.0,80.0,2022,3,1.0,4200000,4309225.484163412
140234,1000000.0,140700.0,74.0,3,Østerdalsgade,5,12.60255002,55.65514486,1936.0,67.0,2022,3,1.0,2895000,3020646.6445964132
117864,2050000.0,421100.0,107.0,4,C.F.MøllersAllé,66,12.57771642,55.63446794,2007.0,91.0,2022,3,4.0,4850000,4692797.0342919305
135388,1650000.0,319200.0,76.0,2,ØresundParkvej,15,12.62948613,55.66334736,2005.0,63.0,2022,3,2.0,4801000,4032348.3214427037
136186,890000.0,133700.0,53.0,2,Reberbanegade,39,12.6063289,55.66225579,1940.0,48.0,2022,3,1.0,2510000,2400261.0352027225
136649,480000.0,63900.0,26.0,1,Florensvej,10,12.62124061,55.65790846,1940.0,23.0,2022,3,3.0,1450000,1481671.6489033843
133795,710000.0,54600.0,45.0,2,Parmagade,42,12.61634482,55.65319428,1934.0,40.0,2022,3,1.0,2050000,2032607.6396572432
139801,960000.0,82700.0,60.0,2,Englandsvej,38,12.60329546,55.65485967,1936.0,54.0,2022,3,5.0,2695000,2541581.919084943
103784,2600000.0,462000.0,93.0,3,Weidekampsgade,59,12.58182392,55.66731458,2006.0,81.0,2022,3,6.0,5250000,5415627.170819724
126034,920000.0,56200.0,50.0,2,Kastrupvej,69,12.61928688,55.65392526,1900.0,42.0,2022,3,2.0,2495000,2156284.0041650366
125580,1150000.0,174100.0,66.0,3,Kastrupvej,77,12.61967852,55.65332013,1937.0,61.0,2022,3,5.0,3150000,2971071.0236407057
141088,2100000.0,434400.0,105.0,4,RobertJacobsensVej,91,12.5731217,55.61668163,2009.0,89.0,2022,3,9.0,6525000,5538216.812849194
132237,1950000.0,149000.0,102.0,4,Kastrupvej,2,12.61395619,55.66035237,1906.0,93.0,2022,3,3.0,4540000,4590536.369144999
139791,850000.0,82700.0,60.0,2,Englandsvej,38,12.60329546,55.65485967,1936.0,54.0,2022,3,1.0,2300000,2375745.0061361957
140568,1650000.0,441700.0,97.0,3,RobertJacobsensVej,70,12.57207819,55.61774495,2010.0,85.0,2022,3,6.0,4000000,3763233.390767396
131096,960000.0,142600.0,60.0,2,PragsBoulevard,50,12.61285387,55.66722162,1937.0,54.0,2022,3,4.0,2600000,2646510.673073203
128783,1350000.0,277100.0,78.0,3,Rodosvej,61,12.61928302,55.65162613,1950.0,73.0,2022,3,1.0,4150000,3427067.4979423154
130238,900000.0,107100.0,52.0,2,Siciliensgade,7,12.61839444,55.65312516,1936.0,48.0,2022,3,4.0,2350000,2358734.421489164
119176,2300000.0,510800.0,118.0,4,EdvardThomsensVej,69,12.57810851,55.63263825,2007.0,93.0,2022,3,2.0,4150000,4064437.9081465374
142940,1000000.0,64400.0,68.0,2,Sundholmsvej,109,12.60508929,55.65746646,1939.0,62.0,2022,3,2.0,2720000,2578692.726891346
415769,2700000.0,622100.0,124.0,4,RobertJacobsensVej,8,12.57467044,55.62360477,2017.0,117.0,2022,3,8.0,5950000,5815801.415671507
136662,440000.0,63900.0,26.0,1,Florensvej,9,12.62163322,55.65757711,1940.0,23.0,2022,3,1.0,1350000,1461865.1483413682
102859,2250000.0,441800.0,83.0,3,Weidekampsgade,35,12.58265573,55.66696594,2007.0,72.0,2022,3,3.0,4695000,4609761.211587719
112971,2200000.0,463900.0,108.0,3,ØrestadsBoulevard,57,12.58224692,55.63443774,2005.0,91.0,2022,3,10.0,3950000,4206882.656726256
106840,2700000.0,392000.0,100.0,3,Markmandsgade,17,12.59991874,55.66814461,2014.0,88.0,2022,3,1.0,5050000,4925837.389559535
108761,3450000.0,264700.0,102.0,3,Artillerivej,116,12.5706781,55.65855556,2008.0,99.0,2022,3,5.0,5725000,5581032.429744253
422642,1650000.0,165800.0,78.0,3,DorisLessingsVej,31,12.57566304,55.63687546,2017.0,68.0,2022,3,4.0,3425000,3152081.6894430774
137490,960000.0,116300.0,58.0,2,Lysefjordsgade,3,12.59960307,55.6582047,1912.0,52.0,2022,3,2.0,2500000,2333616.5936793187
138754,2400000.0,566400.0,121.0,5,RobertJacobsensVej,78,12.57205823,55.6171277,2010.0,109.0,2022,3,2.0,4595000,4600489.92999016
141057,2150000.0,449000.0,106.0,3,RobertJacobsensVej,89,12.57292508,55.61666677,2009.0,92.0,2022,3,5.0,6325000,5681678.423420551
120650,1850000.0,414600.0,95.0,3,TomKristensensVej,44,12.58508453,55.6614912,2006.0,87.0,2022,3,2.0,4615000,4719962.356650639
130703,940000.0,116200.0,53.0,2,Kastrupvej,86,12.61929914,55.65319358,1936.0,48.0,2022,3,5.0,2425000,2347829.8883795394
130235,900000.0,107100.0,52.0,2,Siciliensgade,7,12.61839444,55.65312516,1936.0,48.0,2022,3,3.0,2375000,2343988.4377507963
121023,1750000.0,390700.0,90.0,3,TomKristensensVej,40,12.58547066,55.66147469,2006.0,82.0,2022,3,4.0,4750000,4824780.818136103
122870,1000000.0,57200.0,54.0,2,TychoBrahesAllé,1,12.6104344,55.6552784,1902.0,45.0,2022,3,3.0,2100000,2388276.9546473688
126403,1400000.0,257500.0,81.0,3,Kongovej,8,12.62365289,55.6476389,1932.0,75.0,2022,3,2.0,3495000,3570620.0999230235
102741,2650000.0,235200.0,120.0,4,Hollænderdybet,30,12.59529186,55.66408801,2007.0,111.0,2022,3,6.0,5750000,6298907.019496672
109724,2750000.0,320600.0,80.0,2,IslandsBrygge,36,12.56741573,55.65893424,2012.0,73.0,2022,3,7.0,5295000,5229489.548583204
135991,2450000.0,431600.0,112.0,3,SundbyParkvej,1,12.62959629,55.66232513,2007.0,99.0,2022,3,3.0,6575000,5908531.366082339
129215,920000.0,90700.0,48.0,2,Saltholmsvej,9,12.60925091,55.65931269,1904.0,41.0,2022,3,3.0,2000000,2268844.417970997
134104,1000000.0,65500.0,54.0,2,Nordlandsgade,6,12.60215844,55.66461568,1911.0,46.0,2022,3,4.0,2925000,2730199.5240792343
104083,1200000.0,95900.0,62.0,2,VedSønderport,18,12.60178809,55.66658419,1932.0,55.0,2022,3,6.0,3150000,3172936.2426825464
